ticker,trough_date,peak_date,trough_price,peak_price,gain_pct,duration_days
ABNB,2020-12-15,2021-02-11,124.80000305175781,216.83999633789062,73.74999281687631,58
ABNB,2021-07-19,2021-11-15,131.8800048828125,207.2100067138672,57.12010846374499,119
ABNB,2022-06-30,2023-02-16,89.08000183105469,139.4199981689453,56.51099607447618,231
ACMR,2018-01-22,2018-03-14,1.5833330154418945,4.980000019073486,214.52638014268976,51
ACMR,2018-07-02,2019-03-19,3.3399999141693115,5.316667079925537,59.181653190187,260
ACMR,2019-08-27,2020-05-12,4.619999885559082,18.683332443237305,304.40114515233086,259
ACMR,2020-05-13,2020-08-06,16.760000228881836,37.43000030517578,123.32935437956716,85
ACMR,2020-09-08,2021-02-16,19.656667709350586,46.65999984741211,137.37492304057298,161
ACMR,2021-05-12,2021-10-05,21.42333221435547,39.233333587646484,83.13366564589234,146
ACMR,2022-05-11,2022-08-10,11.630000114440918,19.6200008392334,68.70163926199221,91
ACMR,2022-10-24,2023-07-03,5.960000038146973,14.829999923706055,148.82550048299763,252
ACMR,2023-08-03,2024-03-01,11.970000267028809,33.90999984741211,183.29155464446154,211
ADSK,2015-10-01,2015-12-04,43.13999938964844,65.29000091552734,51.34446416147577,64
ADSK,2016-02-09,2016-10-05,42.63999938964844,73.20999908447266,71.69324608913008,239
ADSK,2016-11-03,2017-05-25,67.61000061035156,113.88999938964844,68.45141008948768,203
ADSK,2017-12-26,2018-08-24,103.80000305175781,157.1999969482422,51.44507931262539,241
ADSK,2018-12-24,2019-04-30,118.31999969482422,178.2100067138672,50.61697698910896,127
ADSK,2019-10-18,2020-07-06,139.6699981689453,244.36000061035156,74.9552543952731,262
ADSK,2024-04-18,2024-11-22,210.6300048828125,321.2699890136719,52.5281211441911,218
ALNY,2015-02-04,2015-06-22,85.56999969482422,138.72999572753906,62.12457195547971,138
ALNY,2016-11-03,2017-07-05,31.40999984741211,85.70999908447266,172.87487902211615,244
ALNY,2017-09-07,2018-03-20,72.52999877929688,148.5399932861328,104.79800880478216,194
ALNY,2019-05-20,2019-12-05,65.86000061035156,124.2300033569336,88.62739478536797,199
ALNY,2020-03-12,2020-07-20,93.12000274658203,165.49000549316406,77.71692505586655,130
ALNY,2021-03-29,2021-10-14,133.8000030517578,209.2899932861328,56.420021309844984,199
ALNY,2022-01-07,2022-08-12,148.1300048828125,233.85000610351562,57.86808775745149,217
ALNY,2023-10-19,2024-07-08,160.5,255.11000061035156,58.94704087872371,263
AMAT,2015-09-28,2016-06-02,12.688153266906738,21.986713409423828,73.28537058871765,248
AMAT,2016-06-27,2017-03-13,19.98710060119629,34.79680633544922,74.09631856942033,259
AMAT,2017-04-13,2017-11-21,33.96400451660156,53.46989440917969,57.43106612485484,222
AMAT,2018-10-29,2019-07-18,28.64324188232422,45.04281997680664,57.25461580730714,262
AMAT,2019-08-23,2020-02-19,42.38127136230469,63.737510681152344,50.39074721539054,180
AMAT,2020-03-20,2020-12-03,35.9202880859375,82.248291015625,128.97447486737875,258
AMAT,2020-12-23,2021-04-05,80.27091217041016,136.9099578857422,70.5598630735513,103
AMAT,2022-10-17,2023-06-27,72.07483673095703,142.9973602294922,98.40122671838542,253
AMAT,2023-07-20,2024-03-07,130.7906036376953,208.70570373535156,59.57239888080175,231
AMD,2015-07-27,2015-12-28,1.6200000047683716,3.0,85.18518464010384,154
AMD,2016-01-20,2016-08-23,1.7999999523162842,7.670000076293945,326.11112663775356,216
AMD,2016-09-13,2017-02-27,5.739999771118164,15.199999809265137,164.80836960563406,167
AMD,2017-11-01,2018-06-18,10.800000190734863,17.110000610351562,58.425928779426705,229
AMD,2018-06-27,2018-09-14,14.970000267028809,32.720001220703125,118.57047853745478,79
AMD,2018-10-29,2019-07-15,16.850000381469727,34.38999938964844,104.09494724681305,259
AMD,2019-08-05,2020-02-19,27.989999771118164,58.900001525878906,110.43230442129412,198
AMD,2020-03-16,2020-09-01,38.709999084472656,92.18000030517578,138.12968867299972,169
AMD,2021-02-23,2021-11-04,84.73999786376953,137.5,62.26103784077145,254
AMD,2022-10-14,2023-06-12,55.939998626708984,129.19000244140625,130.94387846431493,241
AMD,2023-08-24,2024-03-07,101.80000305175781,211.3800048828125,107.64243472108868,196
AMKR,2015-01-30,2015-03-02,5.899654865264893,9.20717716217041,56.06297948680107,31
AMKR,2015-08-05,2015-12-04,3.846389055252075,6.4385199546813965,67.39128211406177,121
AMKR,2016-02-12,2016-10-06,3.8370981216430664,9.253631591796875,141.16223506513873,237
AMKR,2018-10-24,2019-04-24,5.332915306091309,8.826258659362793,65.50532218806012,182
AMKR,2019-05-31,2019-10-29,6.020434856414795,13.861865997314453,130.24692282060963,151
AMKR,2020-03-18,2020-12-01,5.370080471038818,13.973355293273926,160.2075586880515,258
AMKR,2020-12-09,2021-08-06,13.75966739654541,25.66063117980957,86.4916530340849,240
AMKR,2022-04-11,2022-11-17,17.675893783569336,27.195528030395508,53.856593411277274,220
AMKR,2023-05-04,2023-12-26,19.472082138061523,32.75444793701172,68.21235502590416,236
AMKR,2024-02-07,2024-07-16,28.346298217773438,43.0188102722168,51.76165135115786,160
ANET,2015-02-06,2015-06-22,3.544374942779541,5.480000019073486,54.611182720302295,136
ANET,2016-02-09,2016-10-10,3.3125,5.408124923706055,63.26414864018278,244
ANET,2016-10-14,2017-06-23,5.028124809265137,10.101249694824219,100.894967368571,252
ANET,2017-08-02,2018-02-15,8.9662504196167,19.247499465942383,114.66609301734402,197
ANET,2018-10-11,2019-04-16,13.4662504196167,20.533750534057617,52.483058715033806,187
ANET,2020-03-16,2020-11-17,9.8149995803833,17.361249923706055,76.88487688175789,246
ANET,2021-03-08,2021-11-09,16.7393741607666,33.209999084472656,98.39450845366467,246
ANET,2022-06-16,2023-03-06,22.604999542236328,35.64500045776367,57.686357795153874,263
ANET,2023-05-03,2024-01-19,33.182498931884766,65.87750244140625,98.53086585382258,261
ANET,2024-02-21,2024-10-11,63.622501373291016,104.23249816894531,63.829613610103266,233
APA,2015-08-25,2016-04-27,29.715740203857422,44.72463607788086,50.508234932256954,246
APA,2019-08-15,2020-01-14,16.730422973632812,28.515111923217773,70.43867909471064,152
APA,2020-04-01,2020-06-08,3.4389617443084717,15.21220588684082,342.34879646501525,68
APA,2020-07-09,2021-03-05,10.36454963684082,20.065900802612305,93.6012803806545,239
APA,2021-04-20,2021-11-08,14.671845436096191,26.598899841308594,81.29212141145545,202
APA,2021-12-20,2022-06-07,20.769006729125977,44.882423400878906,116.10288824230015,169
APA,2022-08-04,2022-11-07,26.8909912109375,43.647064208984375,62.311102133087594,95
ARRY,2021-05-12,2021-11-15,13.460000038146973,27.09000015258789,101.26300204912444,187
ARRY,2022-01-27,2022-08-10,9.020000457763672,23.579999923706055,161.4190546233325,195
ARRY,2022-10-19,2023-05-22,14.609999656677246,24.3700008392334,66.80356887000688,215
AVGO,2015-01-06,2015-05-29,7.255062580108643,11.194066047668457,54.293170101102405,143
AVGO,2016-02-11,2016-08-29,8.872747421264648,13.6206693649292,53.5112938331318,200
AVGO,2016-09-09,2017-05-26,12.344594955444336,18.766738891601562,52.02393403215606,259
AVGO,2018-07-13,2019-04-01,16.44077491760254,25.50759506225586,55.14837463619677,262
AVGO,2020-03-12,2020-11-24,18.782474517822266,34.91394805908203,85.88577360215756,257
AVGO,2021-05-21,2021-12-27,40.8255500793457,62.3292121887207,52.67206949467178,220
AVGO,2022-10-14,2023-06-14,40.41289520263672,85.15998840332031,110.72478964032275,243
AVGO,2023-06-26,2024-03-07,79.37751770019531,137.2997283935547,72.97054930859453,255
AVGO,2024-04-19,2024-12-16,118.05943298339844,246.58181762695312,108.86244444493272,241
BAC,2016-02-11,2016-10-26,8.867181777954102,13.563543319702148,52.96340663077761,258
BAC,2016-11-02,2017-03-01,13.249981880187988,20.640884399414062,55.780472653153645,119
BAC,2020-03-23,2020-12-04,15.535212516784668,25.678503036499023,65.2922546682594,256
BAC,2020-12-14,2021-06-04,24.740427017211914,38.28364562988281,54.74124841599897,172
BAC,2023-10-23,2024-07-11,23.917850494384766,39.9398193359375,66.98749473876944,262
BBY,2016-01-19,2016-08-25,17.484983444213867,27.556087493896484,57.5985907096489,219
BBY,2016-09-09,2017-05-25,25.906118392944336,43.6195068359375,68.37530877577359,258
BBY,2017-09-20,2018-05-17,37.896339416503906,57.45109176635742,51.600636501945075,239
BBY,2018-12-24,2019-07-24,35.8653564453125,58.750526428222656,63.808566960168,212
BBY,2020-03-23,2020-11-05,39.11574935913086,96.09893798828125,145.6783765177918,227
BBY,2023-11-09,2024-06-18,54.90658187866211,83.79358673095703,52.6111877008338,222
BKNG,2016-02-08,2016-10-05,38.141788482666016,58.65719985961914,53.787229684514124,240
BKNG,2020-03-23,2020-12-04,45.130916595458984,83.23314666748047,84.42600537799687,256
BKNG,2022-07-14,2023-03-03,65.56367492675781,102.63580322265625,56.54370097056378,232
BKNG,2023-05-31,2024-02-08,98.26348114013672,150.41368103027344,53.071801736561355,253
BKNG,2024-03-15,2024-11-27,134.0609588623047,206.0526885986328,53.70074207083027,257
BLD,2015-06-17,2015-09-17,22.75,35.650001525878906,56.703303410456726,92
BLD,2016-02-11,2016-07-26,23.280000686645508,38.650001525878906,66.02233842737962,166
BLD,2016-10-19,2017-06-28,31.709999084472656,55.189998626708984,74.04604295221728,252
BLD,2017-07-18,2018-03-16,52.27000045776367,81.80999755859375,56.514246876082616,241
BLD,2018-10-29,2019-05-15,43.02000045776367,86.33999633789062,100.69733942159719,198
BLD,2019-05-29,2020-02-10,77.11000061035156,119.06999969482422,54.41576806165889,257
BLD,2020-03-16,2020-10-12,59.119998931884766,190.97999572753906,223.0378876487753,210
BLD,2020-10-30,2021-04-16,153.2100067138672,232.05999755859375,51.46530082201855,168
BLD,2021-06-18,2021-12-27,179.92999267578125,280.2300109863281,55.74391285130494,192
BLD,2022-11-03,2023-07-17,141.82000732421875,278.6700134277344,96.49555706950356,256
BLD,2023-10-03,2024-04-05,235.80999755859375,446.9100036621094,89.52122822997009,185
BLDR,2015-01-21,2015-09-14,5.75,16.440000534057617,185.91305276621944,236
BLDR,2016-02-11,2016-08-30,6.590000152587891,14.029999732971191,112.89832182267273,201
BLDR,2016-11-04,2017-05-02,9.140000343322754,16.389999389648438,79.32164960608765,179
BLDR,2017-05-30,2018-01-23,13.520000457763672,23.030000686645508,70.34023599770553,238
BLDR,2018-12-24,2019-08-09,10.229999542236328,20.149999618530273,96.96970205460424,228
BLDR,2019-08-14,2020-02-20,18.700000762939453,28.18000030517578,50.69518264953358,190
BLDR,2020-03-18,2020-11-27,10.649999618530273,37.93000030517578,256.1502503641424,254
BLDR,2021-03-23,2021-11-24,42.279998779296875,73.70999908447266,74.33775121243859,246
BLDR,2022-06-22,2023-03-03,50.02000045776367,89.18000030517578,78.28868350466804,254
BLDR,2023-03-15,2023-08-07,79.52999877929688,152.22000122070312,91.39947637007735,145
BLDR,2023-10-25,2024-03-21,106.22000122070312,211.1199951171875,98.75728929669654,148
BMRN,2015-01-06,2015-07-20,90.27999877929688,149.1300048828125,65.1860953691231,195
BMRN,2016-02-08,2016-08-03,64.73999786376953,101.45999908447266,56.71918818714195,177
BMRN,2019-10-02,2020-06-18,64.2699966430664,113.83000183105469,77.11219507794222,260
