timestamp,run_id,config,period,start,end,steps,cum_return,sharpe,max_dd,avg_turnover,spy_return,spy_sharpe,max_avg_weight,cash_avg_weight,model_path
2026-06-19T22:51:59,crash_only_seed0,crash_only,in_sample,2015-01-01,2024-01-01,2143,2.375287,1.119840,-0.558992,0.497066,1.114011,0.712803,0.1218,0.1218,/Users/victor/Documents/GitHub/AI agent/stock-rl/policy/checkpoints/ppo_crash_only_seed0.zip
2026-06-19T22:51:59,crash_only_seed0,crash_only,out_of_sample,2024-01-01,2026-06-01,483,-0.083742,-0.185151,-0.365259,0.483031,0.377762,1.164581,0.1241,0.1210,/Users/victor/Documents/GitHub/AI agent/stock-rl/policy/checkpoints/ppo_crash_only_seed0.zip
2026-06-19T22:59:00,crash_only_seed1,crash_only,in_sample,2015-01-01,2024-01-01,2143,3.452039,1.510258,-0.399110,0.508205,1.114011,0.712803,0.1439,0.1233,/Users/victor/Documents/GitHub/AI agent/stock-rl/policy/checkpoints/ppo_crash_only_seed1.zip
2026-06-19T22:59:01,crash_only_seed1,crash_only,out_of_sample,2024-01-01,2026-06-01,483,-0.113324,-0.238123,-0.404227,0.512338,0.377762,1.164581,0.1507,0.1244,/Users/victor/Documents/GitHub/AI agent/stock-rl/policy/checkpoints/ppo_crash_only_seed1.zip
2026-06-20T00:18:44,crash_only_seed2,crash_only,in_sample,2015-01-01,2024-01-01,2143,2.645120,1.211981,-0.328509,0.521929,1.114011,0.712803,0.1371,0.1189,/Users/victor/Documents/GitHub/AI agent/stock-rl/policy/checkpoints/ppo_crash_only_seed2.zip
2026-06-20T00:18:44,crash_only_seed2,crash_only,out_of_sample,2024-01-01,2026-06-01,483,-0.069223,-0.149416,-0.371498,0.510973,0.377762,1.164581,0.1337,0.1133,/Users/victor/Documents/GitHub/AI agent/stock-rl/policy/checkpoints/ppo_crash_only_seed2.zip
2026-06-20T00:26:57,crash_only_seed3,crash_only,in_sample,2015-01-01,2024-01-01,2143,2.447163,1.096589,-0.472062,0.526584,1.114011,0.712803,0.1503,0.1439,/Users/victor/Documents/GitHub/AI agent/stock-rl/policy/checkpoints/ppo_crash_only_seed3.zip
2026-06-20T00:26:57,crash_only_seed3,crash_only,out_of_sample,2024-01-01,2026-06-01,483,0.110477,0.229418,-0.402859,0.510923,0.377762,1.164581,0.1571,0.1407,/Users/victor/Documents/GitHub/AI agent/stock-rl/policy/checkpoints/ppo_crash_only_seed3.zip
2026-06-20T00:34:17,crash_only_seed4,crash_only,in_sample,2015-01-01,2024-01-01,2143,2.730500,1.245958,-0.448191,0.524760,1.114011,0.712803,0.1290,0.1290,/Users/victor/Documents/GitHub/AI agent/stock-rl/policy/checkpoints/ppo_crash_only_seed4.zip
2026-06-20T00:34:17,crash_only_seed4,crash_only,out_of_sample,2024-01-01,2026-06-01,483,-0.180835,-0.378118,-0.410619,0.522255,0.377762,1.164581,0.1290,0.1290,/Users/victor/Documents/GitHub/AI agent/stock-rl/policy/checkpoints/ppo_crash_only_seed4.zip
